23321_2|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: <4.44, bin 2: >=4.44AND < 4.5, bin 3: >=4.5 || cat N: 13286, 3905, 23370 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
25092_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25093_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25094_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25095_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25096_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25097_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25098_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25099_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25100_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25101_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25102_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25103_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25104_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25105_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25106_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25107_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25108_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25109_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25110_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25111_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
